name,price,rating,number of review
Frank's Fish And Seafood Market,2,4.5,166
Kai's Crab Boil,2,4.5,202
The Pearl,2,4.0,697
Mitchell's Ocean Club,3,4.5,356
Windward Passage Restaurant,2,4.0,132
Columbus Fish Market,2,3.5,215
Boiling Seafood,2,3.5,104
The Fish Guys,2,4.5,30
Bonefish Grill,2,3.5,136
J. Gilbert's Wood Fired Steaks & Seafood Columbus,3,4.0,247
Shrimp Lips Seafood and Chicken,2,4.5,15
Marino's Seafood,1,3.5,80
Black Point,3,4.0,121
Gallo's Kitchen & Bar,2,4.5,197
Trillium Kitchen & Patio,2,4.0,60
Poke Bros,2,4.5,151
Joe's Crab Shack,2,3.0,103
Creole Kitchen,1,4.0,127
Cousins Maine Lobster - Columbus,2,4.0,41
Captain D's,1,4.0,7
The Guild House,3,4.0,347
The Boat House,2,3.0,143
Bonefish Grill,2,4.0,112
McCormick & Schmick's Seafood & Steaks,3,2.5,171
Firebirds Wood Fired Grill,2,4.0,284
Way Down Yonder,2,4.5,20
Oak Street Meats & Seafood,2,4.0,1
Super Seafood Buffet,1,2.0,26
Helen Asian Kitchen,2,3.5,198
Amina's Fish in Mayo's Kitchen,1,5.0,4
Akai Hana,2,4.5,501
The Mad Greek,2,4.0,129
Smith & Wollensky,3,3.5,180
Taco's Mexican Grill and Cantina,1,4.0,42
The Refectory Restaurant and Wine Shop,4,4.5,297
Frank's Fish & Seafood Market,2,4.0,5
"Royal Fish, Shrimp, & Chicken",1,4.0,21
Hyde Park Prime Steakhouse,3,4.0,220
Red Lobster,2,3.0,42
The Seasoned Farmhouse,3,5.0,5
Eddie Merlot's - Columbus,3,4.0,180
South Village Grille,2,4.5,95
Viiza - Columbus,1,4.0,14
Jeff Ruby's Steakhouse,4,4.0,103
The Old Bag of Nails Pub,2,3.5,54
5th Peking Dynasty,1,3.0,85
M at Miranova,3,4.0,229
Lola & Giuseppe's Trattoria,2,4.5,252
Red Lobster,2,3.5,46
Harvey & Ed's,2,4.0,90
Cameron's American Bistro,3,4.0,139
Final Cut Steak & Seafood,3,3.0,69
Lupo,3,4.0,56
So Gong Dong Tofu and Korean BBQ,2,4.5,104
Zoup!,2,3.0,8
Lindey's,3,4.0,564
Chicago Fish & Chicken,1,4.0,5
Rusty's Wharf,1,4.5,93
Kyoto Japanese Steakhouse,2,4.0,53
Lawsheas Southern Fish & Ribs,1,3.0,45
Red Lobster,2,2.0,31
Miller's Ale House - Columbus,2,3.0,229
Oshio,2,4.5,59
Jessie Mae's Southern Creole Cuisine,1,4.5,24
"Sharks Chicken, Fish, & Shrimp",1,3.5,6
M & M Chicken & Fish,1,3.0,11
Hai Poké,2,4.5,132
Milano's Italian Restaurant,2,3.5,57
The Keep,2,3.5,89
J. Alexander's Restaurant,2,3.5,153
Red Lobster,2,2.0,34
The Walrus,2,4.0,325
Mitchell's Steakhouse,3,3.5,176
The Whitney House,2,4.0,377
The Barn at Rocky Fork Creek,3,3.5,277
Z Cucina Di Spirito,2,4.0,246
Barcelona,3,4.0,428
Nicola Restaurant and Bar,3,4.0,103
Captain D's,1,2.5,14
Tucci's,3,4.0,193
Monarch,3,3.5,36
Lieu's Asian Cuisine,1,4.0,50
Cap City Fine Diner and Bar,2,4.0,495
Cooper's Hawk Winery & Restaurant - Columbus,2,4.0,523
Vino Vino,2,4.0,103
Cafe Phenix,1,5.0,57
GOGI Korean BBQ,2,4.0,147
My Big Fat Gyro,2,3.0,9
Claudiana Italian Restaurant,2,4.0,155
Ye Asian Bistro,2,4.0,82
Texas de Brazil,3,4.0,246
Lazy Chameleon,1,3.5,35
Tea Zone Bakery & Cafe,1,4.0,70
Oodles Noodle & Dumpling Bar,1,3.5,43
North Market,2,4.5,730
Fado Irish Pub,2,3.5,172
Hudson 29,3,4.0,236
Z's Asian Bistro,1,4.0,43
Wolf's Ridge Brewing,2,4.0,780
Pepper's,1,3.5,16
The Top Steakhouse,3,4.0,202
Casa Hacienda Grill,2,4.0,193
La Tavola,2,4.5,153
Golden House Chinese Restaurant,1,4.0,19
Kona Grill,2,3.5,194
Polaris Grill,2,3.5,150
Asian Wok,1,4.0,28
Long John Silver's,1,2.5,12
Carrabba's Italian Grill,2,3.5,96
Hyde Park Prime Steakhouse,3,4.0,82
The Sycamore,2,4.0,270
Chinese Beef Noodle Soup,1,4.0,76
Sushi King Asian Fusion,2,4.0,60
Long John Silver's,1,2.0,6
The Happy Greek,2,4.0,244
Bistro 2110 At the Blackwell,2,3.5,27
Wing's Restaurant,2,3.5,54
Sidebar Columbus,2,4.0,279
Red Hook Grill,2,4.0,118
Diaspora,2,4.0,136
Ted's Montana Grill - Arena District,2,4.0,180
Lashish the Greek,2,4.5,177
TAT Ristorante Di Famiglia,2,3.5,73
Long John Silver's,1,2.0,7
Huong Vietnamese Restaurant,1,4.0,253
The Avenue Steak Tavern,3,4.0,135
Restaurant Silla,2,3.5,133
Marcella's,2,4.0,653
Bawarchi Biryanis - Columbus,2,3.5,77
J. Gumbo's,1,3.5,80
LongHorn Steakhouse,2,3.5,67
The Old Bag of Nails Pub,2,4.0,104
Carfagna's,2,4.5,112
Poong Mei,2,4.0,124
El Tacoriendo,1,4.0,64
G. Michaels Bistro & Bar,3,4.0,216
Asia Fusion,2,4.0,58
Long John Silver's,1,2.0,3
Martini Modern Italian,3,4.0,337
Spagio European & Pacific Rim Cuisine,2,3.5,188
El Vaquero Mexican Restaurant,2,3.0,107
Hong Kong House,2,3.5,104
Bangkok Grocery & Restaurant,2,4.5,225
Panini Opa,1,4.0,142
Weiland's Market,2,4.0,102
Min-Ga Korean Restaurant,2,4.0,183
Hubbard Grille,2,3.5,319
Rossi,2,4.0,242
Meshikou,2,4.0,290
Fujiyama Steakhouse of Japan,2,3.0,117
Latitude 41,2,3.0,113
Giant Eagle,2,3.0,26
Zacatecas Restaurant,1,4.5,26
Popeyes Louisiana Kitchen,1,4.0,7
Marcella's,2,4.0,230
Bonsai,2,4.5,53
Bamboo Thai Kitchen,2,4.0,141
Basi Italia,3,4.5,273
Plantain Café,2,4.0,210
Sapphire Indian Cuisine,2,4.0,52
Figlio,2,4.0,86
Momo Ghar,1,4.5,471
Red Lobster,2,3.0,58
Royal Ginger Asian Fusion Bistro,2,3.5,205
ALDI Foods,1,4.0,14
Figlio,2,4.0,140
Sushi Ten,2,4.5,42
The Elevator Brewery and Draught Haus,2,3.5,324
Peking Hot Pot,2,3.0,74
Lucky's Market,2,4.0,136
Lemon Grass Fusion Bistro,2,3.5,417
Pho Asian Noodle House & Grill,1,3.5,311
Matt The Miller's Tavern,2,4.0,300
Rodizio Grill The Brazilian Steakhouse,3,3.5,166
Erawan Thai,2,4.0,103
Milestone 229,2,4.0,409
FUSIAN,1,4.0,119
Tony's Italian Ristorante,2,3.5,107
Fusion Steakhouse,2,3.5,91
Arepazo Tapas Bar Grille,2,4.0,170
Arirang Oriental Market,1,4.0,77
Sushi Ko Japanese Restaurant,2,4.0,173
The Hills Market,2,4.0,52
Lotte Oriental Foods & Gifts,1,4.5,39
Rishi Sushi Kitchen & Bar,2,3.5,161
The Old Bag of Nails Pub,2,3.5,98
Molly Woo's Asian Bistro,2,3.5,169
101 Beer Kitchen,2,4.0,325
Trattoria Roma,2,3.5,143
Peking Dynasty Express,2,4.0,61
Little Dragons Chinese Restaurant,2,4.0,94
Olive Garden Italian Restaurant,2,3.0,73
The Worthington Inn,3,3.5,170
P.F. Chang's,2,3.0,149
Ruby Tuesday,2,3.0,24
The Table,2,3.5,186
Villa Nova Ristorante,2,4.0,231
El Tacoriendo,2,3.5,26
Thimmes Fish Shack,1,3.5,11
Jasmine's Thai and Sushi,2,4.5,49
